Last name,First name,Zipcode,SSN,Canadian SIN,Birth Date,Employee ID,Acct num
DONOFRIO,JOSEPH L,80202,938-49-5100,,1-1-10,,
FAURA GONZAL,JUAN,62701,976-52-7639,,2-1-02,,147-0563457
ROSENBERG,JOSEPH,50309,898-17-4792,,3-1-13,,
BENNETT,STEVEN P,79022,,078-469-548,4-1-53,,
TANNER,CHARLIE E,59623,357-09-3964,,5-1-21,357093964,
EBRON,MANDY,03301,812-46-4418,,6-1-87,812464418,
BINNS,EMILY MCKAY,21401,970-36-8515,,7-1-30,,
TURNER,HARRY N,08608,784-43-2257,,8-1-32,,
SWIFT,FLORENCE,17101,443-97-4382,,9-1-97,,747-8424393
GARRY,HENRY,84111,772-50-3037,,10-1-01,,
